"Station Name","POINT ATKINSON"
"Province","BRITISH COLUMBIA"
"Latitude","49.33"
"Longitude","-123.26"
"Elevation","35.00"
"Climate Identifier","1106200"
"WMO Identifier","71037"
"TC Identifier","WSB"

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2008-01-01","2008","01","01","*","6.6","","2.4","","4.5","","13.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-02","2008","01","02","*","8.6","","3.8","","6.2","","11.8","","0.0","","","M","","M","6.6","","","","8","","67",""
"2008-01-03","2008","01","03","*","10.2","","5.2","","7.7","","10.3","","0.0","","","M","","M","4.0","","","","10","","74",""
"2008-01-04","2008","01","04","*","11.2","","6.5","","8.9","","9.1","","0.0","","","M","","M","8.7","","","","10","","89",""
"2008-01-05","2008","01","05","*","9.8","","4.8","","7.3","","10.7","","0.0","","","M","","M","2.4","","","","10","","82",""
"2008-01-06","2008","01","06","*","5.2","","2.5","","3.9","","14.1","","0.0","","","M","","M","1.6","","","","8","","50",""
"2008-01-07","2008","01","07","*","4.7","","0.9","","2.8","","15.2","","0.0","","","M","","M","5.5","","","","8","","61",""
"2008-01-08","2008","01","08","*","5.6","","1.5","","3.6","","14.4","","0.0","","","M","","M","5.8","","","","9","","70",""
"2008-01-09","2008","01","09","*","5.5","","3.1","","4.3","","13.7","","0.0","","","M","","M","2.3","","","","8","","61",""
"2008-01-10","2008","01","10","*","7.3","","3.5","","5.4","","12.6","","0.0","","","M","","M","13.3","","","","9","","54",""
"2008-01-11","2008","01","11","*","8.2","","6.1","","7.2","","10.8","","0.0","","","M","","M","2.0","","","","8","","39",""
"2008-01-12","2008","01","12","*","9.0","","6.5","","7.8","","10.2","","0.0","","","M","","M","1.6","","","","8","","63",""
"2008-01-13","2008","01","13","*","8.4","","6.0","","7.2","","10.8","","0.0","","","M","","M","1.5","","","","9","","43",""
"2008-01-14","2008","01","14","*","8.2","","3.1","","5.7","","12.3","","0.0","","","M","","M","18.4","","","","28","","98",""
"2008-01-15","2008","01","15","*","3.9","","0.2","","2.1","","15.9","","0.0","","","M","","M","0.0","","","","29","","63",""
"2008-01-16","2008","01","16","*","2.1","","0.4","","1.3","","16.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-17","2008","01","17","*","2.8","","1.1","","2.0","","16.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-18","2008","01","18","*","3.5","","2.5","","3.0","","15.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-19","2008","01","19","*","4.3","","2.6","","3.5","","14.5","","0.0","","","M","","M","4.5","","","","9","","43",""
"2008-01-20","2008","01","20","*","7.8","","2.3","","5.1","","12.9","","0.0","","","M","","M","0.0","","","","9","","37",""
"2008-01-21","2008","01","21","*","5.2","","0.1","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-22","2008","01","22","*","4.0","","-0.7","","1.7","","16.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-23","2008","01","23","*","4.0","","-0.3","","1.9","","16.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-24","2008","01","24","*","5.2","","0.1","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-25","2008","01","25","*","5.4","","-0.1","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2008-01-26","2008","01","26","*","4.6","","1.5","","3.1","","14.9","","0.0","","","M","","M","0.6","","","","10","","54",""
"2008-01-27","2008","01","27","*","4.3","","0.6","","2.5","","15.5","","0.0","","","M","","M","0.0","","","","9","","33",""
